Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
Whole Foods Market Inc,WFM,11/4/15,0.35,0.3,0.01,2015,4,2015,3,AMC,3438,3480.102,-42.102,-1.209,46.323
Wyndham Worldwide Corp,WYN,10/27/15,1.7,1.78,0.02,2015,3,2015,3,BTO,1564,1552.085,11.915,0.767,16.923
Wynn Resorts Ltd,WYNN,10/15/15,0.75,0.86,0.07,2015,3,2015,3,AMC,996.285,1030.887,-34.602,-3.356,41.926
XL Group Plc,XL,10/26/15,0.44,0.23,0.1,2015,3,2015,3,AMC,2597.648,2219.5,389.967,17.57,293.449
Xcel Energy Inc,XEL,10/29/15,0.8,0.84,0.01,2015,3,2015,3,BTO,2901.312,2956.155,-54.843,-1.855,78.976
Xerox Corp,XRX,10/26/15,0.22,0.24,0.01,2015,3,2015,3,BTO,4333,4540,-207,-4.559,0
Xilinx Inc,XLNX,10/14/15,0.46,0.48,0.01,2016,2,2015,3,AMC,527.572,527.821,-0.249,-0.047,2.563
Xylem Inc,XYL,10/29/15,0.48,0.49,0.01,2015,3,2015,3,BTO,902,896.887,5.113,0.57,6.048
Yahoo Inc,YHOO,10/20/15,0.07,0.11,0.02,2015,3,2015,3,AMC,1225.673,1020.437,-17.993,-1.763,9.689
Yum! Brands Inc,YUM,10/6/15,1.07,1,0.02,2015,3,2015,3,AMC,3427,3683.622,-256.622,-6.966,71.917
Zimmer Biomet Holdings Inc,ZBH,10/29/15,1.55,1.64,0.02,2015,3,2015,3,BTO,1762.2,1759.286,2.914,0.165,19.358
Zions Bancorp (UT),ZION,10/19/15,0.42,0.41,0.01,2015,3,2015,3,AMC,587.043,564.514,-8.324,-1.474,4.477
Zoetis Inc,ZTS,11/3/15,0.4,0.5,0.01,2015,3,2015,3,BTO,1214,1179,35,2.968,3.605
eBay Inc.,EBAY,10/21/15,0.33,0.35,0.02,2015,3,2015,3,AMC,2099,2098.345,0.655,0.031,34.32
